detector,race,n,anomaly_rate,mean_score
IF,Caucasian,52638,0.05269957065238041,0.24861235039898574
IF,AfricanAmerican,12611,0.03726905082864166,0.22854666847729574
IF,Hispanic,1469,0.06943498978897208,0.25943724933369033
IF,Asian,483,0.045548654244306416,0.23920411057002397
IF,Other,1156,0.04325259515570934,0.24783432219852378
LOF,Caucasian,52638,0.0513697328925871,0.002048426964853644
LOF,AfricanAmerican,12611,0.044960748552850684,0.0018618030304146267
LOF,Hispanic,1469,0.04833219877467665,0.0019460405306558775
LOF,Asian,483,0.043478260869565216,0.0019728686595284826
LOF,Other,1156,0.04757785467128028,0.001978258474095778
OCSVM,Caucasian,52638,0.051863672631938904,0.35640825919796665
OCSVM,AfricanAmerican,12611,0.04067877250019824,0.3460029548037888
OCSVM,Hispanic,1469,0.05854322668481961,0.3694244025955641
OCSVM,Asian,483,0.057971014492753624,0.37005580352650735
OCSVM,Other,1156,0.052768166089965395,0.3614893224454326
DBSCAN,Caucasian,52638,0.06347125650670618,0.0075572085181503336
DBSCAN,AfricanAmerican,12611,0.043295535643485844,0.006927002623412303
DBSCAN,Hispanic,1469,0.06466984343090537,0.007646929290402972
DBSCAN,Asian,483,0.047619047619047616,0.007325957840017233
DBSCAN,Other,1156,0.050173010380622836,0.00738812573782019
